N,L=1,L=3,L=5,L=7,L=10
1,0.012329855161495875,0.012329855161495875,0.012329855161495875,0.012329855161495875,0.012329855161495875
2,0.02465971032299175,0.024507684994688285,0.024507684994688285,0.024507684994688285,0.024507684994688285
3,0.03698956548448763,0.03653536394985609,0.03653536394985609,0.03653536394985609,0.03653536394985609
4,0.0493194206459835,0.04841476647727814,0.04841474336557769,0.04841474336557769,0.04841474336557769
5,0.06164927580747937,0.060147766172341556,0.060147651753695006,0.060147651753695006,0.060147651753695006
6,0.07397913096897525,0.07173623495227201,0.0717358950842773,0.07173589508076374,0.07173589508076374
7,0.08630898613047114,0.08318204226370629,0.08318125707036854,0.08318125704603353,0.08318125704603353
8,0.09863884129196701,0.0944870543203419,0.09448549945231222,0.09448549935600119,0.09448549935600065
9,0.11096869645346287,0.10565313336991237,0.10565036228145787,0.10565036199558019,0.10565036199557543
10,0.12329855161495874,0.11668213698975119,0.11667756420306409,0.11667756349592974,0.11667756349590624
11,0.13562840677645463,0.12757591741022142,0.12756880273822147,0.12756880119898661,0.12756880119890135
12,0.14795826193795053,0.1383363208653016,0.13832575456462926,0.1383257515187421,0.13832575151848908
13,0.1602881170994464,0.14896518696963115,0.1489500757960677,0.14895007019930762,0.14895007019865697
14,0.17261797226094225,0.15946434812133456,0.15944340226041678,0.15944339256981024,0.15944339256830875
15,0.18494782742243815,0.16983562892995244,0.16980734977608172,0.16980733379616203,0.16980733379297983
16,0.19727768258393397,0.18008084566882535,0.18004351442669048,0.18004348912974313,0.1800434891234485
17,0.20960753774542987,0.19020180575128576,0.19015347283394093,0.19015343415304164,0.1901534341412819
18,0.22193739290692574,0.20020030723002682,0.20013878242847763,0.20013872502229058,0.20013872500135474
19,0.23426724806842164,0.2100781383190311,0.2100009817186905,0.21000089870714359,0.2100008986713775
20,0.2465971032299175,0.21983707693745105,0.2197415905573301,0.21974147322742918,0.2197414731684714
21,0.25892695839141333,0.22947889027484913,0.2293621104058445,0.2293619478870238,0.22936194779282645
22,0.2712568135529093,0.23900533437721447,0.23886402459634598,0.23886380350488337,0.23886380335847848
23,0.2835866687144051,0.2484181537531858,0.24824879859112586,0.24824850264327258,0.2482485024212409
24,0.295916523875901,0.25771908099992286,0.25751788023963734,0.25751748983323025,0.2575174895038256
25,0.3082463790373969,0.2669098364480785,0.2666727000328755,0.26667219179730955,0.2666721913181889
26,0.32057623419889286,0.2759921278253349,0.27571467135508765,0.275714017669631,0.2757140169851356
27,0.3329060893603887,0.28496764993798124,0.28464519073275224,0.28464435921328357,0.284644358251215
28,0.3452359445218845,0.2938380843700162,0.29346563808077,0.2934645910351144,0.2934645897029434
29,0.35756579968338026,0.30260509919927475,0.3021773769458176,0.30217607079793984,0.3021760689783849
30,0.36989565484487624,0.31127034873008486,0.3107817547468151,0.3107801394302155,0.3107801369761234
31,0.3822255100063723,0.31983547324197303,0.31928010301246507,0.31927812133319894,0.31927811806165773
32,0.3945553651678681,0.32830209875394845,0.32767373761582896,0.3276713245856434,0.3276713202712535
33,0.40688522032936386,0.33667183680389917,0.335963959005903,0.3359610411460511,0.33596103551327894
34,0.4192150754908598,0.3449462842426566,0.3441520524361653,0.34414854705252473,0.3441485397670615
35,0.4315449306523557,0.3531270230422776,0.3522392881900708,0.352235102620248,0.3522350932792895
36,0.4438747858138515,0.3612156201181195,0.3602269218034683,0.3602219526366276,0.36022194075799435
37,0.4562046409753473,0.36921362716428147,0.36811619428392367,0.36811032655413056,0.36811031156414126
38,0.4685344961368433,0.3771225805019995,0.37590833232693216,0.3759014386808452,0.3759014199008554
39,0.48086435129833904,0.38494400094059195,0.383604548529009,0.3835964883688007,0.38359646500031847
40,0.49319420645983497,0.39267939365055843,0.3912060415976497,0.39119666020007227,0.39119663130835786
41,0.505524061621331,0.4003302480484496,0.39871399655815143,0.3987031241707042,0.3987030886667621
42,0.5178539167828268,0.40789803769312577,0.4061295849572951,0.40611703587247777,0.40611699249334754
43,0.5301837719443224,0.41538422019303956,0.4134539650638872,0.413439536672557,0.41343948395980584
44,0.5425136271058187,0.4227902371241792,0.4206882820661605,0.4206717538910352,0.4206716901673579
45,0.5548434822673144,0.43011751395832215,0.42783366826604124,0.42781480097641456,0.427814724320243
46,0.5671733374288104,0.43736746000125554,0.43489124327028883,0.43486977767904395,0.4348696858970692
47,0.5795031925903062,0.44454146834062497,0.4418621141785154,0.4418377702225427,0.4418376608200509
48,0.5918330477518021,0.4516409158030856,0.4487473757680964,0.4487198514732353,0.4487197216221604
49,0.6041629029132981,0.4586671629204362,0.4555481106759881,0.45551708110762484,0.4555169276122187
50,0.6164927580747939,0.46562155390442084,0.4622653895774619,0.462230505777929,0.46223032503795175
51,0.6288226132362896,0.47250541662989504,0.4689002713617765,0.46886115927570404,0.46886094724703625
52,0.6411524683977856,0.4793200626260564,0.47545380330480297,0.4754100626935806,0.47540981484616046
53,0.6534823235592814,0.48606678707545287,0.4819270212386249,0.48187822458513646,0.4818779358581249
54,0.6658121787207775,0.492746868820481,0.4883209497181328,0.4882666411229278,0.4882663058770051
55,0.6781420338822732,0.4993615703770985,0.49463660218463706,0.4945762962547043,0.49457590822140524
56,0.690471889043769,0.5059121379554837,0.5008749811265234,0.5008081618578287,0.5008077140858193
57,0.7028017442052649,0.512399801487376,0.5070370782369736,0.5069631978919217,0.5069626826901277
58,0.7151315993667611,0.5188257746598405,0.5131238745687849,0.5130423525497604,0.5130417614272554
59,0.7274614545282568,0.5251912549552116,0.5191363406863042,0.5190465624064415,0.5190458860090048
60,0.7397913096897526,0.5314974236969631,0.5250754368145183,0.5249767525668398,0.5249759806100951
61,0.7521211648512486,0.5377454461012746,0.5309421129853195,0.5308338368113732,0.5308329580104257
62,0.7644510200127441,0.5439364713340621,0.5367373091809841,0.5366187177401037,0.5366177197355878
