matched_shisetsu_bangou	before	after	interval	after_minus_before
BR0-040002-00003	I	I	2	0
BR0-040002-00003	I	II	3	1
BR0-040002-00006	III	III	5	0
BR0-040002-00011	II	III	5	1
BR0-040002-00015	II	II	4	0
BR0-040002-00022	I	II	30	1
BR0-040002-00022	II	III	5	1
BR0-040002-00032	I	II	3	1
BR0-040002-00032	II	II	4	0
BR0-040002-00032	II	II	1	0
BR0-040002-00034	III	III	5	0
BR0-040002-00039	II	II	5	0
BR0-040002-00042	II	III	5	1
BR0-040002-00056	I	II	13	1
BR0-040002-00056	II	II	1	0
BR0-040002-00056	II	III	1	1
BR0-040002-00056	I	II	2	1
BR0-040002-00056	II	II	1	0
BR0-040002-00056	I	III	1	2
BR0-040002-00056	II	II	2	0
BR0-040002-00057	I	II	13	1
BR0-040002-00057	II	II	1	0
BR0-040002-00057	II	III	1	1
BR0-040002-00057	I	II	2	1
BR0-040002-00057	II	II	1	0
BR0-040002-00057	I	III	1	2
BR0-040002-00057	II	II	2	0
BR0-040002-00058	I	II	13	1
BR0-040002-00058	II	II	1	0
BR0-040002-00058	II	III	1	1
BR0-040002-00058	I	II	2	1
BR0-040002-00058	II	II	1	0
BR0-040002-00058	I	III	1	2
BR0-040002-00058	II	II	2	0
BR0-040002-00074	II	II	5	0
BR0-040002-00077	II	III	5	1
BR0-040002-00081	II	II	1	0
BR0-040002-00081	II	II	3	0
BR0-040002-00081	II	II	2	0
BR0-040002-00081	II	II	3	0
BR0-040002-00082	II	III	4	1
BR0-040002-00096	II	II	5	0
BR0-040002-00097	I	I	5	0
BR0-040002-00098	II	II	4	0
BR0-040002-00100	II	II	4	0
BR0-040002-00101	II	II	4	0
BR0-040002-00101	II	II	5	0
BR0-040002-00108	II	II	2	0
BR0-040002-00108	II	II	3	0
BR0-040002-00108	II	II	1	0
BR0-040002-00132	I	I	5	0
BR0-040002-00133	II	II	5	0
BR0-040002-00133	II	II	4	0
BR0-040002-00134	II	II	4	0
BR0-040002-00135	II	II	4	0
BR0-040002-00135	II	II	5	0
BR0-040002-00137	I	II	25	1
BR0-040002-00137	II	II	4	0
BR0-040002-00137	II	II	5	0
BR0-040002-00138	II	II	4	0
BR0-040002-00138	II	II	5	0
BR0-040002-00146	II	III	4	1
BR0-040002-00148	II	II	5	0
BR0-040002-00148	II	II	4	0
BR0-040002-00149	II	II	5	0
BR0-040002-00150	III	III	5	0
BR0-040002-00151	II	II	4	0
BR0-040002-00154	I	II	27	1
BR0-040002-00154	II	II	4	0
BR0-040002-00155	I	II	5	1
BR0-040002-00155	II	III	5	1
BR0-040002-00158	II	II	4	0
BR0-040002-00158	II	II	5	0
BR0-040002-00161	III	III	1	0
BR0-040002-00162	III	III	4	0
BR0-040002-00164	II	III	2	1
BR0-040002-00164	II	II	5	0
BR0-040002-00166	I	I	5	0
BR0-040002-00167	I	II	5	1
BR0-040002-00167	I	II	3	1
BR0-040002-00168	II	II	1	0
BR0-040002-00168	II	III	1	1
BR0-040002-00168	II	III	1	1
BR0-040002-00172	III	III	4	0
BR0-040002-00178	II	II	5	0
BR0-040002-00181	II	II	4	0
BR0-040002-00181	II	II	5	0
BR0-040002-00183	I	II	5	1
BR0-040002-00183	II	II	5	0
BR0-040002-00184	II	II	4	0
BR0-040002-00186	I	II	5	1
BR0-040002-00186	II	II	5	0
BR0-040002-00187	II	III	1	1
BR0-040002-00188	II	III	1	1
BR0-040002-00188	III	III	4	0
BR0-040002-00188	III	III	1	0
BR0-040002-00193	I	I	23	0
BR0-040002-00193	I	III	2	2
BR0-040002-00193	I	III	2	2
BR0-040002-00194	I	I	26	0
BR0-040002-00194	I	II	2	1
BR0-040002-00194	II	II	2	0
BR0-040002-00194	I	II	4	1
BR0-040002-00195	I	I	25	0
BR0-040002-00195	I	III	2	2
BR0-040002-00195	I	III	2	2
BR0-040002-00196	I	I	21	0
BR0-040002-00196	I	II	5	1
BR0-040002-00196	II	II	5	0
BR0-040002-00197	II	III	4	1
BR0-040002-00197	III	III	5	0
BR0-040002-00198	II	II	4	0
BR0-040002-00199	II	II	1	0
BR0-040002-00199	II	II	3	0
BR0-040002-00199	II	II	1	0
BR0-040002-00199	II	II	4	0
BR0-040002-00199	II	II	1	0
BR0-040002-00200	II	II	5	0
BR0-040002-00200	II	II	5	0
BR0-040002-00201	I	I	5	0
BR0-040002-00201	I	II	5	1
BR0-040002-00205	II	II	5	0
BR0-040002-00207	II	II	5	0
BR0-040002-00207	II	II	5	0
BR0-040002-00211	II	II	4	0
BR0-040002-00214	III	III	4	0
BR0-040002-00216	I	II	4	1
BR0-040002-00217	II	II	4	0
BR0-040002-00218	III	III	1	0
BR0-040002-00220	II	II	4	0
BR0-040002-00221	II	II	4	0
BR0-040002-00231	I	II	5	1
BR0-040002-00233	I	I	2	0
BR0-040002-00233	I	II	5	1
BR0-040002-00238	I	II	4	1
BR0-040002-00238	II	II	5	0
BR0-040002-00241	II	II	2	0
BR0-040002-00241	II	II	5	0
BR0-040002-00243	II	II	4	0
BR0-040002-00244	II	III	4	1
BR0-040002-00245	II	II	4	0
BR0-040002-00246	II	II	4	0
BR0-040002-00247	I	I	5	0
BR0-040002-00247	I	I	5	0
BR0-040002-00248	I	II	5	1
BR0-040002-00250	I	II	2	1
BR0-040002-00250	II	II	3	0
BR0-040002-00250	II	II	2	0
BR0-040002-00250	II	II	3	0
BR0-040002-00251	II	II	4	0
BR0-040002-00256	II	II	4	0
BR0-040002-00256	II	II	5	0
BR0-040002-00258	I	II	25	1
BR0-040002-00258	II	II	5	0
BR0-040002-00260	II	II	4	0
BR0-040002-00261	III	III	5	0
BR0-040002-00264	II	II	4	0
BR0-040002-00264	II	II	5	0
BR0-040002-00265	II	III	4	1
BR0-040002-00266	III	III	1	0
BR0-040002-00266	II	III	1	1
BR0-040002-00267	I	II	5	1
BR0-040002-00268	I	II	5	1
BR0-040002-00269	I	II	5	1
BR0-040002-00271	I	II	5	1
BR0-040002-00273	I	I	6	0
BR0-040002-00273	I	II	5	1
BR0-040002-00273	II	II	5	0
BR0-040002-00276	II	III	5	1
BR0-040002-00277	II	III	5	1
BR0-040002-00277	II	III	5	1
BR0-040002-00279	III	III	4	0
BR0-040002-00282	II	II	4	0
BR0-040002-00283	I	III	19	2
BR0-040002-00283	II	III	4	1
BR0-040002-00284	I	II	18	1
BR0-040002-00284	II	II	5	0
BR0-040002-00285	I	III	21	2
BR0-040002-00285	II	III	4	1
BR0-040002-00289	I	III	25	2
BR0-040002-00289	II	III	4	1
BR0-040002-00295	I	I	14	0
BR0-040002-00295	I	II	5	1
BR0-040002-00295	II	II	5	0
BR0-040002-00296	I	I	14	0
BR0-040002-00296	I	II	5	1
BR0-040002-00296	II	II	5	0
BR0-040002-00297	I	II	14	1
BR0-040002-00297	II	II	5	0
BR0-040002-00297	II	II	5	0
BR0-040002-00298	I	I	16	0
BR0-040002-00298	I	II	5	1
BR0-040002-00298	II	II	5	0
BR0-040002-00310	II	II	2	0
BR0-040002-00310	II	II	2	0
BR0-040002-00310	II	II	2	0
BR0-040002-00310	II	III	3	1
BR0-040002-00318	II	III	4	1
BR0-040002-00321	II	II	4	0
BR0-040002-00322	II	III	4	1
BR0-040002-00323	I	II	5	1
BR0-040002-00324	II	II	4	0
BR0-040002-00326	II	II	4	0
BR0-040002-00330	I	I	5	0
BR0-040002-00330	I	III	5	2
BR0-040002-00333	II	II	4	0
BR0-040002-00334	I	II	25	1
BR0-040002-00334	II	II	5	0
BR0-040002-00334	II	II	5	0
BR0-040002-00335	I	II	5	1
BR0-040002-00335	II	II	5	0
BR0-040002-00336	II	II	4	0
BR0-040002-00336	II	II	5	0
BR0-040002-00338	I	II	16	1
BR0-040002-00338	II	II	4	0
BR0-040002-00342	I	I	5	0
BR0-040002-00343	I	I	5	0
BR0-040002-00346	II	II	4	0
BR0-040002-00349	III	III	4	0
BR0-040002-00351	II	II	5	0
BR0-040002-00369	II	II	5	0
BR0-040002-00369	II	II	5	0
BR0-040002-00371	II	II	5	0
BR0-040002-00371	II	II	5	0
BR0-040002-00372	II	II	4	0
BR0-040002-00372	II	II	5	0
BR0-040002-00383	I	II	3	1
BR0-040002-00383	II	II	2	0
BR0-040002-00383	II	II	3	0
BR0-040002-00389	I	II	7	1
BR0-040002-00389	II	II	5	0
BR0-040002-00389	II	II	5	0
BR0-040002-00397	I	I	4	0
BR0-040002-00398	II	II	4	0
BR0-040002-00399	II	II	4	0
BR0-040002-00400	I	II	26	1
BR0-040002-00400	II	II	4	0
BR0-040002-00401	I	I	27	0
BR0-040002-00401	I	II	4	1
BR0-040002-00402	I	I	4	0
BR0-040002-00403	II	II	1	0
BR0-040002-00403	I	II	2	1
BR0-040002-00410	II	II	5	0
BR0-040002-00410	II	II	5	0
BR0-040002-00412	II	II	5	0
BR0-040002-00413	II	III	1	1
BR0-040002-00413	II	III	2	1
BR0-040002-00414	II	II	4	0
BR0-040002-00415	II	II	4	0
BR0-040002-00418	III	III	5	0
BR0-040002-00420	II	II	5	0
BR0-040002-00420	II	II	5	0
BR0-040002-00422	I	II	2	1
BR0-040002-00422	I	II	2	1
BR0-040002-00424	I	II	2	1
BR0-040002-00424	I	II	2	1
BR0-040002-00425	II	II	5	0
BR0-040002-00425	II	II	5	0
BR0-040002-00428	I	II	3	1
BR0-040002-00428	II	II	2	0
BR0-040002-00428	II	II	3	0
BR0-040002-00428	II	II	2	0
BR0-040002-00429	II	II	5	0
BR0-040002-00429	II	II	5	0
BR0-040002-00432	II	II	5	0
BR0-040002-00434	I	II	5	1
BR0-040002-00434	II	II	5	0
BR0-040002-00437	I	II	29	1
BR0-040002-00437	II	III	4	1
BR0-040002-00437	III	III	5	0
BR0-040002-00438	II	II	4	0
BR0-040002-00438	II	II	5	0
BR0-040002-00440	I	I	5	0
BR0-040002-00440	I	I	5	0
BR0-040002-00441	II	II	5	0
BR0-040002-00441	II	II	5	0
BR0-040002-00442	III	III	5	0
BR0-040002-00442	III	III	5	0
BR0-040002-00443	II	II	4	0
BR0-040002-00443	II	II	5	0
BR0-040002-00445	II	II	5	0
BR0-040002-00445	II	II	5	0
BR0-040002-00446	I	I	5	0
BR0-040002-00448	I	II	22	1
BR0-040002-00448	II	II	5	0
BR0-040002-00448	II	II	5	0
BR0-040002-00449	I	II	5	1
BR0-040002-00449	II	II	5	0
BR0-040002-00450	I	I	13	0
BR0-040002-00450	I	II	5	1
BR0-040002-00450	II	II	5	0
BR0-040002-00456	I	III	27	2
BR0-040002-00457	III	III	5	0
BR0-040002-00458	II	II	1	0
BR0-040002-00458	II	II	4	0
BR0-040002-00458	II	II	1	0
BR0-040002-00458	II	II	4	0
BR0-040002-00462	II	II	1	0
BR0-040002-00462	II	II	4	0
BR0-040002-00462	II	II	1	0
BR0-040002-00462	II	II	4	0
BR0-040002-00463	I	II	5	1
BR0-040002-00463	II	II	5	0
BR0-040002-00465	II	II	4	0
BR0-040002-00466	I	II	28	1
BR0-040002-00466	II	II	5	0
BR0-040002-00467	II	II	4	0
BR0-040002-00468	II	II	4	0
BR0-040002-00469	I	II	5	1
BR0-040002-00469	II	II	5	0
BR0-040002-00470	II	II	4	0
BR0-040002-00471	II	II	4	0
BR0-040002-00472	II	II	4	0
BR0-040002-00473	II	II	5	0
BR0-040002-00475	III	III	4	0
BR0-040002-00476	II	II	4	0
BR0-040002-00478	I	II	5	1
BR0-040002-00479	II	II	5	0
BR0-040002-00479	II	II	5	0
BR0-040002-00480	II	II	4	0
BR0-040002-00482	II	II	5	0
BR0-040002-00482	II	II	5	0
BR0-040002-00483	II	II	5	0
