MaxDistance,M,Status,ObjectiveValue_PWL,ObjectiveValue_Exact,Difference_PWL_minus_Exact,ElapsedSeconds,RegionCounts,PWLNodes,BundleLimit
15.0,6,2,2.087122437656,2.087125115794,-0.000002678138,7603.093,184;1;11;98;10;18,322,5
20.0,4,2,1.821855583428,1.821855635197,-0.000000051769,60.152,31;243;4;44,322,5
20.0,5,2,1.791186154749,1.791186211114,-0.000000056364,254.206,29;4;39;1;249,322,5
20.0,6,2,1.791636651369,1.791636681980,-0.000000030612,212.727,1;249;39;3;1;29,322,5
25.0,3,2,1.567652580102,1.567652580102,0.000000000000,2.487,277;10;35,322,5
25.0,4,2,1.568955177828,1.568955219492,-0.000000041664,6.869,277;35;1;9,322,5
25.0,5,2,1.570120199400,1.570120199400,0.000000000000,13.447,35;8;277;1;1,322,5
25.0,6,2,1.571145798522,1.571145801208,-0.000000002686,22.768,1;35;7;277;1;1,322,5
30.0,2,2,1.634245308650,1.634245308650,0.000000000000,0.094,71;251,322,5
30.0,3,2,1.416188540729,1.416188540729,0.000000000000,1.406,16;298;8,322,5
30.0,4,2,1.417214142537,1.417214142537,0.000000000000,4.748,7;298;1;16,322,5
30.0,5,2,1.418098621099,1.418098626221,-0.000000005123,3.080,298;16;1;6;1,322,5
30.0,6,2,1.418840230070,1.418840230070,0.000000000000,3.282,298;16;1;1;1;5,322,5
35.0,2,2,1.346598386737,1.346598386737,0.000000000000,0.094,305;17,322,5
35.0,3,2,1.262041465559,1.262041465559,0.000000000000,0.684,315;1;6,322,5
35.0,4,2,1.262783069407,1.262783069407,0.000000000000,1.123,315;5;1;1,322,5
35.0,5,2,1.263380009735,1.263380009735,0.000000000000,0.990,315;1;4;1;1,322,5
35.0,6,2,1.263830480602,1.263830480602,0.000000000000,1.250,315;1;1;1;3;1,322,5
40.0,1,2,1.193326724455,1.193326724455,0.000000000000,0.000,322,322,5
40.0,2,2,1.203449790717,1.203449790737,-0.000000000020,0.062,321;1,322,5
40.0,3,2,1.213577416133,1.213577416277,-0.000000000144,0.297,320;1;1,322,5
40.0,4,2,1.223709622547,1.223709622962,-0.000000000415,1.243,1;319;1;1,322,5
40.0,5,2,1.233846432066,1.233846432066,-0.000000000000,0.406,1;1;1;1;318,322,5
40.0,6,2,1.243987864242,1.243987864242,0.000000000000,0.535,1;1;1;317;1;1,322,5
45.0,1,2,1.193326724455,1.193326724455,0.000000000000,0.000,322,322,5
45.0,2,2,1.203449790717,1.203449790737,-0.000000000020,0.058,321;1,322,5
45.0,3,2,1.213577416133,1.213577416277,-0.000000000144,0.297,320;1;1,322,5
45.0,4,2,1.223709622547,1.223709622962,-0.000000000415,1.247,1;319;1;1,322,5
45.0,5,2,1.233846432066,1.233846432066,-0.000000000000,0.420,1;1;1;1;318,322,5
45.0,6,2,1.243987864242,1.243987864242,0.000000000000,0.500,1;1;1;317;1;1,322,5
50.0,1,2,1.193326724455,1.193326724455,0.000000000000,0.001,322,322,5
50.0,2,2,1.203449790717,1.203449790737,-0.000000000020,0.062,321;1,322,5
50.0,3,2,1.213577416133,1.213577416277,-0.000000000144,0.281,320;1;1,322,5
50.0,4,2,1.223709622547,1.223709622962,-0.000000000415,1.266,1;319;1;1,322,5
50.0,5,2,1.233846432066,1.233846432066,-0.000000000000,0.439,1;1;1;1;318,322,5
50.0,6,2,1.243987864242,1.243987864242,0.000000000000,0.484,1;1;1;317;1;1,322,5
