shisetsu_id,shisetsu_bangou,syogen.kasetsu_nendo,syogen.shisetsu.meisyou,syogen.rosen.meisyou,syogen.kouzou_keishiki.joubu,syogen.kanrisya.meisyou,syogen.gyousei_kuiki.todoufuken_mei,syogen.gyousei_kuiki.shikuchouson_mei,tenken.kiroku.hantei_kubun,緯度,経度,判定,架設年度,橋名,路線,市区町村,管理者,構造上部,施設番号,構造上部_百の位,健全度
"38.00583,140.54722",BR0-042064-00019,1981,青沢橋,市道小久保平原線,321.0,白石市,宮城県,白石市,2.0,38.00583,140.54722,2,1981,青沢橋,市道小久保平原線,白石市,白石市,321.0,BR0-042064-00019,3,2
"38.02833,140.62972",BR0-042064-00025,1936,児捨川橋,市道児捨川線,321.0,白石市,宮城県,白石市,2.0,38.02833,140.62972,2,1936,児捨川橋,市道児捨川線,白石市,白石市,321.0,BR0-042064-00025,3,2
"38.01889,140.62167",BR0-042064-00027,1972,天津沢川橋,市道上畑線,321.0,白石市,宮城県,白石市,2.0,38.01889,140.62167,2,1972,天津沢川橋,市道上畑線,白石市,白石市,321.0,BR0-042064-00027,3,2
"38.01278,140.63389",BR0-042064-00028,1996,関下橋,市道郡山線,310.0,白石市,宮城県,白石市,2.0,38.01278,140.63389,2,1996,関下橋,市道郡山線,白石市,白石市,310.0,BR0-042064-00028,3,2
"37.96500,140.61694",BR0-042064-00050,1973,沼前１橋,市道沼前線,321.0,白石市,宮城県,白石市,2.0,37.965,140.61694,2,1973,沼前１橋,市道沼前線,白石市,白石市,321.0,BR0-042064-00050,3,2
"38.03750,140.61889",BR0-042064-00061,1993,西のかみ橋,市道コスモスライン,321.0,白石市,宮城県,白石市,2.0,38.0375,140.61889,2,1993,西のかみ橋,市道コスモスライン,白石市,白石市,321.0,BR0-042064-00061,3,2
"37.98528,140.61583",BR0-042064-00067,不明,無名橋１号,市道中央通り線,310.0,白石市,宮城県,白石市,1.0,37.98528,140.61583,1,不明,無名橋１号,市道中央通り線,白石市,白石市,310.0,BR0-042064-00067,3,1
"37.98917,140.61750",BR0-042064-00068,不明,無名橋2号,市道中央通り線,310.0,白石市,宮城県,白石市,2.0,37.98917,140.6175,2,不明,無名橋2号,市道中央通り線,白石市,白石市,310.0,BR0-042064-00068,3,2
"37.99111,140.61833",BR0-042064-00069,不明,無名橋3号,市道中央通り線,310.0,白石市,宮城県,白石市,1.0,37.99111,140.61833,1,不明,無名橋3号,市道中央通り線,白石市,白石市,310.0,BR0-042064-00069,3,1
"37.99194,140.61889",BR0-042064-00070,不明,無名橋4号,市道中央通り線,310.0,白石市,宮城県,白石市,1.0,37.99194,140.61889,1,不明,無名橋4号,市道中央通り線,白石市,白石市,310.0,BR0-042064-00070,3,1
"37.99583,140.62750",BR0-042064-00074,不明,無名橋2号,市道白石田中線,335.0,白石市,宮城県,白石市,1.0,37.99583,140.6275,1,不明,無名橋2号,市道白石田中線,白石市,白石市,335.0,BR0-042064-00074,3,1
"37.99861,140.63583",BR0-042064-00075,不明,無名橋１号,市道鷹の巣線,310.0,白石市,宮城県,白石市,2.0,37.99861,140.63583,2,不明,無名橋１号,市道鷹の巣線,白石市,白石市,310.0,BR0-042064-00075,3,2
"37.98630,140.60628",BR0-042064-00076,不明,無名橋３号,市道一本木通り線,335.0,白石市,宮城県,白石市,1.0,37.9863,140.60628,1,不明,無名橋３号,市道一本木通り線,白石市,白石市,335.0,BR0-042064-00076,3,1
"37.99000,140.60667",BR0-042064-00077,不明,無名橋４号,市道一本木通り線,335.0,白石市,宮城県,白石市,1.0,37.99,140.60667,1,不明,無名橋４号,市道一本木通り線,白石市,白石市,335.0,BR0-042064-00077,3,1
"37.98028,140.60889",BR0-042064-00078,不明,無名橋５号,市道一本木通り線,310.0,白石市,宮城県,白石市,1.0,37.98028,140.60889,1,不明,無名橋５号,市道一本木通り線,白石市,白石市,310.0,BR0-042064-00078,3,1
"37.97833,140.60889",BR0-042064-00079,不明,無名橋６号,市道一本木通り線,310.0,白石市,宮城県,白石市,1.0,37.97833,140.60889,1,不明,無名橋６号,市道一本木通り線,白石市,白石市,310.0,BR0-042064-00079,3,1
"37.93611,140.60250",BR0-042064-00081,不明,無名橋５号,市道原線,310.0,白石市,宮城県,白石市,1.0,37.93611,140.6025,1,不明,無名橋５号,市道原線,白石市,白石市,310.0,BR0-042064-00081,3,1
"37.93500,140.60361",BR0-042064-00082,不明,無名橋６号,市道原線,310.0,白石市,宮城県,白石市,1.0,37.935,140.60361,1,不明,無名橋６号,市道原線,白石市,白石市,310.0,BR0-042064-00082,3,1
"37.93222,140.60528",BR0-042064-00085,不明,無名橋１号,市道越河線,310.0,白石市,宮城県,白石市,1.0,37.93222,140.60528,1,不明,無名橋１号,市道越河線,白石市,白石市,310.0,BR0-042064-00085,3,1
"37.92750,140.59667",BR0-042064-00087,不明,無名橋１号,市道越河小原線,310.0,白石市,宮城県,白石市,1.0,37.9275,140.59667,1,不明,無名橋１号,市道越河小原線,白石市,白石市,310.0,BR0-042064-00087,3,1
"37.92778,140.59667",BR0-042064-00088,不明,無名橋２号,市道越河小原線,310.0,白石市,宮城県,白石市,1.0,37.92778,140.59667,1,不明,無名橋２号,市道越河小原線,白石市,白石市,310.0,BR0-042064-00088,3,1
"37.93583,140.58639",BR0-042064-00089,不明,無名橋３号,市道越河小原線,310.0,白石市,宮城県,白石市,2.0,37.93583,140.58639,2,不明,無名橋３号,市道越河小原線,白石市,白石市,310.0,BR0-042064-00089,3,2
"37.94667,140.56917",BR0-042064-00090,不明,無名橋４号,市道越河小原線,310.0,白石市,宮城県,白石市,1.0,37.94667,140.56917,1,不明,無名橋４号,市道越河小原線,白石市,白石市,310.0,BR0-042064-00090,3,1
"37.94889,140.56750",BR0-042064-00091,不明,無名橋５号,市道越河小原線,310.0,白石市,宮城県,白石市,1.0,37.94889,140.5675,1,不明,無名橋５号,市道越河小原線,白石市,白石市,310.0,BR0-042064-00091,3,1
"37.95611,140.65028",BR0-042064-00092,1993,無名橋１号,市道斎川線,335.0,白石市,宮城県,白石市,1.0,37.95611,140.65028,1,1993,無名橋１号,市道斎川線,白石市,白石市,335.0,BR0-042064-00092,3,1
"37.98528,140.62056",BR0-042064-00094,不明,無名橋２号,市道坂谷線,310.0,白石市,宮城県,白石市,2.0,37.98528,140.62056,2,不明,無名橋２号,市道坂谷線,白石市,白石市,310.0,BR0-042064-00094,3,2
"37.98176,140.64503",BR0-042064-00095,不明,無名橋３号,市道坂谷線,310.0,白石市,宮城県,白石市,1.0,37.98176,140.64503,1,不明,無名橋３号,市道坂谷線,白石市,白石市,310.0,BR0-042064-00095,3,1
